,age,fnlwgt,education_num,capital_gain,capital_loss,hours_per_week,workclass,marital_status,occupation,relationship,race,sex,native_country,y
4598,24,123160,14,0,0,10, State-gov, Married-spouse-absent, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female, China,0
35435,27,122540,10,0,0,40, State-gov, Never-married, Craft-repair, Other-relative, White, Male, United-States,0
27199,26,66638,13,0,0,50, Private, Never-married, Exec-managerial, Not-in-family, White, Female, United-States,0
42853,35,105527,9,0,0,40, Federal-gov, Divorced, Exec-managerial, Unmarried, White, Female, United-States,0
36864,45,105431,9,0,0,39, Private, Divorced, Farming-fishing, Unmarried, Black, Female, United-States,0
1781,37,272950,9,0,0,40, Private, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,0
30742,21,118023,9,0,0,24, Private, Never-married, Farming-fishing, Own-child, White, Male, United-States,0
48135,24,218415,7,0,0,40, Private, Separated, Handlers-cleaners, Other-relative, White, Female, United-States,0
17884,44,146906,15,0,0,50, Private, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
17517,38,115634,10,0,0,40, Local-gov, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,0
35155,27,299536,10,0,0,55, Private, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States,0
17472,29,130045,4,0,0,40, Private, Married-civ-spouse, Other-service, Wife, White, Female, United-States,0
11548,47,37672,13,0,0,45, Local-gov, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States,0
20298,41,137126,13,0,1977,45, Private, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
30750,25,122999,9,0,0,40, Private, Never-married, Craft-repair, Other-relative, White, Male, United-States,0
16517,31,198069,9,0,0,24, Private, Never-married, Other-service, Own-child, White, Male, United-States,0
48021,25,359067,10,0,0,20, Private, Never-married, Sales, Own-child, White, Male, United-States,0
20995,21,52753,9,0,1504,40, Private, Never-married, Craft-repair, Not-in-family, White, Male, United-States,0
196,36,99374,10,0,0,40, Private, Divorced, Craft-repair, Not-in-family, White, Male, United-States,0
30125,42,246862,10,3325,0,40, Local-gov, Divorced, Tech-support, Not-in-family, White, Female, United-States,0
21624,41,125831,9,0,1887,55, Self-emp-inc, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
38913,34,119079,7,0,0,40, Private, Married-civ-spouse, Machine-op-inspct, Own-child, Black, Male, United-States,0
2098,52,266529,10,0,0,45, Private, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
3554,23,60847,11,0,0,60, Private, Never-married, Sales, Unmarried, White, Female, United-States,0
14601,29,79387,13,0,0,50, Private, Never-married, Exec-managerial, Not-in-family, White, Male, United-States,1
37526,59,280519,6,0,0,40, Private, Married-civ-spouse, Transport-moving, Husband, Black, Male, United-States,0
4275,44,67671,10,0,0,40, Private, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States,0
47436,24,361278,10,0,0,40, Private, Never-married, Adm-clerical, Not-in-family, White, Female, United-States,0
14146,50,109277,5,0,0,48, Private, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,0
47894,17,95079,7,0,0,15, Private, Never-married, Sales, Own-child, White, Female, United-States,0
32365,41,122215,14,15024,0,40, Private, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
490,40,347934,9,0,0,35, Private, Never-married, Other-service, Not-in-family, White, Female, United-States,0
48353,54,256923,10,0,0,40, Local-gov, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States,1
22758,36,175769,15,0,0,60, Self-emp-not-inc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
41609,34,137616,5,0,0,35, Private, Never-married, Sales, Unmarried, Black, Female, United-States,0
10364,42,211915,10,0,0,40, State-gov, Separated, Tech-support, Unmarried, White, Female, United-States,0
41739,21,254351,9,0,0,35, Private, Never-married, Other-service, Not-in-family, White, Male, United-States,0
30164,42,168515,11,0,0,40, Private, Divorced, Prof-specialty, Not-in-family, White, Female, United-States,0
1338,71,269708,13,2329,0,16, Private, Divorced, Tech-support, Own-child, White, Female, United-States,0
28436,42,118686,10,0,0,20, Private, Divorced, Prof-specialty, Unmarried, White, Female, United-States,0
37009,39,46395,13,0,0,40, Private, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,0
9365,46,159869,9,0,0,44, Private, Divorced, Exec-managerial, Not-in-family, White, Male, United-States,0
8314,54,123592,9,3887,0,35, State-gov, Separated, Adm-clerical, Unmarried, Black, Female, United-States,0
36250,23,345577,10,0,0,26, Private, Divorced, Priv-house-serv, Not-in-family, White, Female, United-States,0
22740,25,240081,9,0,0,40, Private, Never-married, Sales, Own-child, Black, Male, United-States,0
8520,32,340917,9,0,0,40, Private, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States,0
10572,23,219535,9,0,0,40, Private, Never-married, Exec-managerial, Own-child, White, Male, United-States,0
33203,57,223892,13,0,0,40, Federal-gov, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States,1
19213,23,165474,10,0,0,40, Private, Never-married, Craft-repair, Not-in-family, White, Male, United-States,0
17464,70,188260,9,0,0,16, Self-emp-inc, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,0
9900,43,295510,9,0,0,45, Private, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
7673,27,188576,13,0,0,40, Private, Separated, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male, Philippines,1
23485,37,243409,9,0,0,50, Private, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0
13144,37,194004,7,0,0,25, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
35911,52,21764,10,0,0,60, State-gov, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
31684,37,187046,10,0,0,40, Federal-gov, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
40380,35,128516,9,0,0,45, Private, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States,0
47840,40,100451,10,0,0,40, Private, Never-married, Craft-repair, Not-in-family, White, Male, United-States,0
38785,25,165866,11,0,0,20, Private, Never-married, Farming-fishing, Not-in-family, White, Male, United-States,0
23476,58,33309,9,0,0,80, Self-emp-not-inc, Widowed, Farming-fishing, Not-in-family, White, Male, United-States,0
30024,46,184632,11,0,0,50, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
18979,44,86298,9,0,0,40, Private, Divorced, Craft-repair, Not-in-family, White, Male, United-States,0
33998,42,178074,14,0,1902,40, Federal-gov, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States,1
30048,55,209535,9,0,0,40, Private, Divorced, Transport-moving, Not-in-family, White, Male, United-States,0
5092,38,172571,10,0,0,58, Private, Divorced, Craft-repair, Own-child, White, Male, Poland,0
37186,18,230215,10,0,0,30, Private, Never-married, Other-service, Own-child, White, Male, United-States,0
345,43,241895,13,0,0,42, Self-emp-not-inc, Never-married, Sales, Not-in-family, White, Male, United-States,0
28846,39,30916,9,0,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
22520,44,187720,9,0,0,41, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
41278,35,196373,9,0,1672,40, Private, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States,0
30788,67,191380,15,20051,0,25, Self-emp-not-inc, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
7599,43,188808,14,0,0,45, Private, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
48592,30,235847,13,0,0,24, Private, Never-married, Other-service, Own-child, White, Female, United-States,0
11949,31,142038,9,0,0,45, Private, Married-civ-spouse, Craft-repair, Wife, White, Female, United-States,0
40080,45,213334,14,0,0,45, Local-gov, Never-married, Prof-specialty, Not-in-family, White, Female, United-States,0
26973,51,162745,9,7298,0,50, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
3684,46,176863,9,0,0,40, Self-emp-not-inc, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,0
11858,35,165799,9,0,0,60, Private, Divorced, Exec-managerial, Not-in-family, White, Male, United-States,0
42896,33,152744,10,0,0,40, Private, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female, United-States,0
31478,22,200374,9,0,0,35, Private, Never-married, Machine-op-inspct, Other-relative, White, Male, United-States,0
19586,28,163320,9,0,0,40, Private, Never-married, Transport-moving, Own-child, White, Male, United-States,0
18381,52,216342,13,0,0,55, State-gov, Widowed, Exec-managerial, Unmarried, White, Female, United-States,0
38814,45,79646,10,0,0,70, Private, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0
43595,49,228372,13,0,1977,60, Self-emp-not-inc, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
42844,54,183668,3,0,0,55, Self-emp-not-inc, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States,0
40159,20,112387,6,0,0,40, Private, Never-married, Craft-repair, Own-child, White, Male, United-States,0
9318,37,160120,14,0,0,40, Private, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Male, South,0
29126,21,204425,10,0,0,20, State-gov, Never-married, Exec-managerial, Own-child, White, Female, United-States,0
10004,25,303431,9,0,0,40, Private, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States,0
28291,25,193379,12,0,0,45, Private, Never-married, Craft-repair, Not-in-family, White, Male, United-States,0
2322,22,460835,9,0,0,55, Private, Never-married, Craft-repair, Own-child, White, Male, United-States,0
15321,24,162282,9,0,0,40, Private, Never-married, Craft-repair, Not-in-family, White, Male, United-States,0
7618,35,33397,9,0,0,35, Private, Divorced, Other-service, Not-in-family, White, Female, United-States,0
39146,32,262092,13,7298,0,50, Private, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
34119,42,198282,13,0,0,60, Self-emp-inc, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
24854,27,172009,13,0,0,40, Private, Never-married, Exec-managerial, Not-in-family, White, Female, United-States,0
43126,27,192936,13,0,0,30, Private, Never-married, Exec-managerial, Not-in-family, White, Female, United-States,0
7828,46,124071,14,0,0,44, Private, Widowed, Prof-specialty, Not-in-family, White, Female, United-States,0
20537,57,140711,13,0,0,40, Federal-gov, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
28316,26,50103,10,0,0,40, Private, Never-married, Sales, Not-in-family, White, Female, United-States,0
37135,44,271282,13,0,0,56, Private, Divorced, Machine-op-inspct, Unmarried, White, Female, United-States,0
30071,36,317040,11,0,0,54, Private, Divorced, Adm-clerical, Unmarried, Black, Female, United-States,0
17719,22,237720,9,0,0,40, Private, Never-married, Craft-repair, Own-child, White, Male, United-States,0
21261,45,148171,11,15024,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
31943,24,88095,10,0,0,24, Private, Never-married, Machine-op-inspct, Not-in-family, White, Female, Mexico,0
1667,35,107991,7,0,0,45, Private, Never-married, Sales, Not-in-family, White, Male, United-States,0
37403,52,98642,9,0,0,50, Self-emp-not-inc, Married-civ-spouse, Craft-repair, Husband, White, Male, India,1
3189,43,320984,10,0,0,50, Self-emp-inc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,0
6304,58,194068,14,0,1977,50, State-gov, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
20046,44,60414,14,0,0,40, Private, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
33749,30,157990,9,0,0,40, State-gov, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,0
24209,60,195453,11,0,0,60, Local-gov, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
15399,20,42706,10,0,0,72, Private, Never-married, Farming-fishing, Not-in-family, White, Male, United-States,0
7326,37,354929,12,0,0,38, State-gov, Divorced, Protective-serv, Not-in-family, Black, Male, United-States,0
40872,33,250804,13,0,0,50, Private, Married-civ-spouse, Exec-managerial, Husband, White, Male, England,0
45713,59,184553,9,0,0,45, Private, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States,0
41882,21,232591,10,0,0,8, Private, Never-married, Sales, Own-child, White, Male, United-States,0
13936,31,369825,4,0,0,25, Private, Never-married, Handlers-cleaners, Other-relative, White, Male, United-States,0
7919,30,284395,9,0,0,50, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
14825,29,169544,11,0,0,40, Private, Never-married, Tech-support, Not-in-family, White, Male, United-States,0
26835,23,348420,13,0,0,40, Private, Never-married, Tech-support, Not-in-family, White, Male, United-States,0
17300,41,88913,12,0,0,36, State-gov, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Female, United-States,0
48480,37,171393,9,0,1740,40, Private, Married-civ-spouse, Sales, Husband, White, Male, United-States,0
11215,37,125550,9,14084,0,35, Private, Never-married, Tech-support, Not-in-family, White, Female, United-States,1
5840,22,203894,10,0,0,24, Private, Never-married, Transport-moving, Not-in-family, White, Female, United-States,0
48660,43,72791,10,5178,0,40, Private, Married-civ-spouse, Craft-repair, Husband, Black, Male, United-States,1
27562,44,198270,12,0,0,43, Private, Divorced, Prof-specialty, Not-in-family, White, Female, United-States,0
11163,23,131275,9,0,0,40, Private, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male, United-States,0
30016,31,440129,10,0,0,40, State-gov, Divorced, Protective-serv, Not-in-family, White, Male, United-States,1
44820,29,309778,13,0,0,40, Private, Never-married, Craft-repair, Not-in-family, White, Male, United-States,0
34462,51,22154,10,0,0,40, Self-emp-not-inc, Divorced, Adm-clerical, Not-in-family, White, Male, United-States,0
32398,24,222005,9,0,0,30, Private, Never-married, Other-service, Other-relative, White, Male, United-States,0
17225,49,239865,7,0,0,40, Private, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0
3941,28,339897,2,0,0,43, Private, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, Mexico,0
28981,42,282062,5,0,0,40, Private, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0
31231,48,197683,10,0,0,40, Private, Married-civ-spouse, Sales, Husband, Black, Male, United-States,1
10607,25,204219,9,0,0,40, Private, Never-married, Adm-clerical, Unmarried, White, Female, Mexico,0
19238,18,78181,7,0,0,30, Private, Never-married, Other-service, Own-child, White, Female, United-States,0
20926,22,142566,9,0,0,40, Private, Never-married, Sales, Not-in-family, White, Male, United-States,0
46050,33,168981,9,0,0,40, Private, Never-married, Sales, Own-child, White, Female, United-States,0
6511,32,136935,9,0,0,13, Private, Never-married, Other-service, Unmarried, Black, Female, United-States,0
17850,39,150125,12,0,0,40, Private, Divorced, Other-service, Unmarried, Black, Female, United-States,0
32081,49,106554,13,0,0,40, Local-gov, Divorced, Prof-specialty, Unmarried, White, Female, United-States,1
47400,44,262233,10,0,0,47, Private, Divorced, Exec-managerial, Unmarried, White, Male, United-States,0
15054,32,163604,14,0,0,20, Private, Never-married, Prof-specialty, Not-in-family, White, Female, United-States,0
47904,68,254218,11,0,0,24, Local-gov, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,0
17810,43,350379,3,0,0,40, Private, Divorced, Priv-house-serv, Unmarried, White, Female, Mexico,0
14777,27,267989,10,0,0,40, Private, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,0
37630,49,219751,9,0,0,40, Private, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,0
4483,43,416338,13,0,0,50, Private, Never-married, Sales, Not-in-family, White, Male, United-States,0
45002,59,170993,15,13550,0,40, Self-emp-inc, Divorced, Prof-specialty, Not-in-family, White, Male, United-States,1
12335,63,102412,9,0,0,40, Private, Divorced, Sales, Not-in-family, White, Female, United-States,0
46607,30,45737,10,0,0,40, State-gov, Never-married, Adm-clerical, Not-in-family, White, Female, United-States,0
35312,35,261504,9,0,0,40, Private, Married-spouse-absent, Transport-moving, Other-relative, White, Female, Dominican-Republic,0
13937,36,44364,9,0,0,36, Federal-gov, Never-married, Adm-clerical, Own-child, Black, Female, United-States,0
32050,49,66385,9,5013,0,40, Private, Married-civ-spouse, Sales, Husband, White, Male, United-States,0
4431,21,174503,9,0,0,30, Private, Never-married, Adm-clerical, Not-in-family, White, Female, United-States,0
37785,48,443377,14,0,0,60, Private, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,0
21694,19,97189,10,0,0,22, Private, Never-married, Sales, Own-child, White, Female, United-States,0
321,43,50356,10,0,1485,50, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
417,30,426017,7,0,0,19, Private, Never-married, Other-service, Own-child, White, Female, United-States,0
42053,32,107435,9,0,0,40, Private, Divorced, Machine-op-inspct, Not-in-family, White, Female, United-States,0
2277,42,225193,9,0,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
14956,61,136262,9,0,0,50, Private, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
4091,33,288825,9,0,2258,84, Private, Divorced, Craft-repair, Not-in-family, White, Male, United-States,0
47028,25,211531,8,0,0,40, Private, Never-married, Other-service, Not-in-family, White, Male, United-States,0
13868,58,121912,11,0,0,42, Self-emp-not-inc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
6123,56,87584,9,0,0,40, Private, Widowed, Other-service, Unmarried, White, Female, United-States,0
27547,50,27539,10,7688,0,40, Self-emp-not-inc, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States,1
6817,56,206399,9,0,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
27222,32,113838,10,0,0,99, Local-gov, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States,0
16840,17,108909,9,0,0,20, Private, Never-married, Sales, Own-child, White, Female, United-States,0
32891,18,228216,9,0,0,20, Private, Never-married, Handlers-cleaners, Own-child, White, Male, United-States,0
2719,39,144169,9,0,0,50, Private, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
7931,45,207277,13,0,0,50, Private, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
35457,22,201615,12,0,0,37, Private, Never-married, Adm-clerical, Other-relative, White, Female, United-States,0
24674,25,113099,9,0,0,40, Private, Separated, Craft-repair, Not-in-family, Black, Male, United-States,0
2724,45,224474,13,4934,0,50, Local-gov, Divorced, Prof-specialty, Unmarried, White, Female, United-States,1
10528,55,102058,13,0,0,50, Private, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,1
26151,54,173050,14,7688,0,40, Local-gov, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
15083,65,123965,13,0,0,40, Private, Widowed, Other-service, Not-in-family, White, Female, United-States,0
24990,54,88019,10,0,0,55, Private, Divorced, Transport-moving, Not-in-family, White, Male, United-States,0
22092,19,176634,9,0,0,40, State-gov, Never-married, Adm-clerical, Own-child, White, Female, United-States,0
39153,44,229148,10,0,0,40, Local-gov, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, United-States,0
32629,46,170338,9,0,0,40, Private, Separated, Transport-moving, Not-in-family, White, Male, United-States,0
1459,41,94113,15,0,0,60, Self-emp-inc, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
32721,55,43064,7,0,0,30, Private, Married-civ-spouse, Other-service, Husband, White, Male, United-States,0
9859,43,355856,13,0,0,50, Self-emp-not-inc, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male, Philippines,0
46712,35,148906,10,0,0,40, Private, Divorced, Prof-specialty, Not-in-family, White, Female, United-States,0
15119,35,178322,13,0,0,40, Private, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
38891,22,59184,9,0,0,30, Private, Never-married, Machine-op-inspct, Not-in-family, White, Male, United-States,0
13536,17,181317,6,0,0,35, Self-emp-not-inc, Never-married, Farming-fishing, Own-child, White, Male, United-States,0
28442,33,283602,3,0,0,59, Private, Married-civ-spouse, Other-service, Husband, White, Male, Mexico,0
4444,18,232024,7,0,0,55, Private, Never-married, Machine-op-inspct, Own-child, White, Male, United-States,0
22689,26,212748,9,0,0,40, Private, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0
48704,42,278926,10,0,0,40, Private, Divorced, Exec-managerial, Not-in-family, White, Female, United-States,0
41086,23,130959,13,2407,0,6, Private, Married-civ-spouse, Prof-specialty, Husband, White, Male, Canada,0
20087,27,191177,10,0,0,40, Private, Never-married, Adm-clerical, Own-child, White, Female, United-States,0
25671,24,100605,10,0,0,14, Private, Never-married, Machine-op-inspct, Own-child, Other, Male, United-States,0
28956,35,101509,10,0,0,40, Private, Divorced, Exec-managerial, Not-in-family, White, Female, United-States,0
40856,48,135525,10,0,0,40, Private, Widowed, Adm-clerical, Unmarried, White, Female, United-States,1
32146,39,117381,10,0,0,65, Private, Divorced, Transport-moving, Not-in-family, White, Male, United-States,0
29904,20,66917,7,0,0,40, Private, Married-civ-spouse, Farming-fishing, Own-child, White, Male, Mexico,0
10421,38,234901,10,0,0,40, Private, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,0
12571,29,108574,11,0,0,40, Private, Never-married, Priv-house-serv, Own-child, White, Female, United-States,0
19242,56,134756,9,0,0,40, Private, Never-married, Other-service, Not-in-family, Black, Female, United-States,0
32820,72,243769,15,0,1429,20, Self-emp-not-inc, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,0
10890,23,289982,9,0,0,40, Private, Never-married, Sales, Not-in-family, White, Female, United-States,0
43187,64,271094,13,0,0,20, Private, Divorced, Prof-specialty, Not-in-family, White, Female, United-States,0
46264,49,39518,10,0,0,40, Private, Married-civ-spouse, Tech-support, Husband, White, Male, United-States,1
46513,19,57366,10,0,0,30, Private, Never-married, Machine-op-inspct, Own-child, White, Female, United-States,0
5365,49,145290,3,0,0,40, Local-gov, Married-civ-spouse, Other-service, Husband, White, Male, United-States,0
23110,35,381583,10,0,0,45, Private, Married-civ-spouse, Craft-repair, Husband, Other, Male, United-States,1
11409,36,403489,14,0,0,45, Federal-gov, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
37069,18,182701,9,0,0,12, Private, Never-married, Other-service, Own-child, White, Female, Mexico,0
23046,39,174242,9,0,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
3405,47,134671,10,0,0,40, Local-gov, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States,0
11416,38,205852,9,0,0,45, Federal-gov, Never-married, Adm-clerical, Not-in-family, White, Male, United-States,1
28439,49,126754,9,0,0,40, State-gov, Married-civ-spouse, Craft-repair, Husband, White, Male, Portugal,0
37189,61,143837,9,0,0,40, Private, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,0
23662,37,234807,9,0,0,37, Private, Divorced, Adm-clerical, Unmarried, White, Female, United-States,0
19536,43,216697,10,0,0,32, Private, Married-civ-spouse, Protective-serv, Husband, Other, Male, United-States,0
34007,32,227282,10,0,0,50, Private, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0
40036,42,152889,10,0,0,52, Self-emp-not-inc, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
27991,20,250165,9,0,0,40, Private, Married-civ-spouse, Sales, Husband, White, Male, United-States,0
43143,61,170278,15,0,0,30, Self-emp-not-inc, Never-married, Prof-specialty, Not-in-family, White, Female, Philippines,0
41433,22,191265,10,0,0,30, Private, Never-married, Sales, Not-in-family, White, Male, United-States,0
12509,36,193855,9,0,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
7774,26,211435,9,0,0,40, Private, Never-married, Machine-op-inspct, Unmarried, White, Female, United-States,0
22919,69,50468,15,0,0,34, State-gov, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,1
9757,29,86613,2,0,0,20, Private, Never-married, Other-service, Not-in-family, White, Male, El-Salvador,0
410,41,42346,10,0,0,24, Local-gov, Divorced, Other-service, Not-in-family, Black, Female, United-States,0
8361,47,105779,13,0,0,40, Self-emp-inc, Never-married, Sales, Own-child, White, Male, United-States,1
13172,39,114366,13,0,0,35, State-gov, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,0
30829,22,34310,10,0,0,25, State-gov, Never-married, Transport-moving, Own-child, White, Male, United-States,0
11632,57,161097,9,0,0,26, Private, Divorced, Sales, Not-in-family, White, Female, United-States,0
23723,25,245628,10,0,0,15, Private, Never-married, Tech-support, Own-child, White, Male, Mexico,0
9874,55,209569,9,0,0,50, Self-emp-inc, Divorced, Sales, Unmarried, White, Female, United-States,1
21753,22,246965,10,0,0,12, Private, Never-married, Prof-specialty, Not-in-family, White, Male, United-States,0
4856,32,189838,9,0,0,50, Private, Never-married, Sales, Not-in-family, White, Female, United-States,0
7453,31,185528,10,0,0,35, Private, Divorced, Sales, Own-child, White, Female, United-States,0
6620,26,289980,3,0,0,30, Private, Married-civ-spouse, Farming-fishing, Husband, White, Male, Mexico,0
25848,42,82297,4,0,0,50, Self-emp-not-inc, Married-civ-spouse, Other-service, Wife, Black, Female, United-States,0
42851,35,214738,9,0,0,48, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
13990,20,109952,9,0,0,40, Private, Married-civ-spouse, Tech-support, Other-relative, White, Male, United-States,0
48739,28,179008,9,0,0,48, Private, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0
30643,34,265807,9,0,2051,55, Private, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0
12279,29,219906,13,0,0,25, Local-gov, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States,1
19235,27,89718,10,0,0,40, Self-emp-inc, Separated, Sales, Own-child, White, Female, United-States,0
37011,28,169069,9,0,0,40, Local-gov, Never-married, Protective-serv, Not-in-family, White, Male, United-States,0
36625,58,21838,16,7688,0,50, State-gov, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
8863,30,242460,9,0,0,50, Private, Separated, Craft-repair, Not-in-family, White, Male, United-States,0
33682,31,378426,15,0,0,99, Local-gov, Married-civ-spouse, Prof-specialty, Husband, White, Male, Columbia,0
13024,43,167599,7,0,0,25, Private, Married-civ-spouse, Handlers-cleaners, Wife, White, Female, United-States,0
38233,17,165018,6,0,0,10, Private, Never-married, Sales, Own-child, White, Female, United-States,0
47557,45,128141,7,0,0,40, Private, Separated, Tech-support, Unmarried, White, Female, Puerto-Rico,0
19655,32,207668,13,0,2444,50, Private, Never-married, Exec-managerial, Other-relative, White, Male, United-States,1
3583,43,96102,10,0,1887,40, Local-gov, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States,1
38910,29,309778,9,7298,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
48368,53,182677,13,0,0,50, Local-gov, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male, Philippines,0
22778,27,97490,10,0,0,40, Private, Divorced, Craft-repair, Unmarried, White, Female, United-States,0
23944,23,117480,6,0,0,44, Private, Never-married, Craft-repair, Own-child, White, Male, United-States,0
22497,28,272913,6,0,0,30, Private, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, Mexico,0
5892,21,192572,9,0,0,45, Private, Never-married, Adm-clerical, Own-child, White, Female, United-States,0
3614,23,373550,11,0,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
21553,33,69748,9,0,0,40, Private, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States,0
34832,24,197496,13,0,0,20, Self-emp-inc, Never-married, Adm-clerical, Own-child, White, Male, United-States,0
25970,31,208881,10,0,0,40, Private, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
30728,65,170939,13,6723,0,40, Private, Divorced, Prof-specialty, Not-in-family, White, Male, United-States,0
9902,32,211743,13,0,0,45, Private, Never-married, Sales, Not-in-family, White, Male, United-States,0
6241,33,109996,12,0,0,40, Private, Married-spouse-absent, Prof-specialty, Own-child, White, Female, United-States,0
